title,company,experience,location,description
Data Engineer & Senior Data engineer (immediate to 30 days NP)banking,Sphere IT Consultants DWC LLC,5 - 10 Years,Dubai - United Arab Emirates (UAE),"Responsibilities include data analysis, feature engineering, and automation using Python, Spark, SQL, and tools like Jupyter and Git."
Data Engineer & Senior Data Engineer,Client of Discovered MENA,1 - 3 Years,United Arab Emirates - United Arab Emirates,"Develop and optimize data pipelines, ensure data quality, and collaborate with analytics teams; requires strong SQL, Python, and big data tools experience."
Data Engineer,DUBAI PROPERTIES GROUP LLC,3 - 6 Years,Dubai - United Arab Emirates (UAE),"Design and maintain data pipelines, develop ETL processes, ensure data quality, collaborate with stakeholders, and advocate for agile methodologies."
Senior Data Engineer,Al Futtaim Private Company (LLC),10 - 16 Years,Dubai - United Arab Emirates (UAE),"Design and manage scalable data pipelines, convert business requirements into specifications, and collaborate using Azure tools and methodologies."
Senior MS Fabric Data Engineer,Alpha Data Recruitment,5 - 10 Years,Dubai - United Arab Emirates (UAE),"Design and maintain scalable data architectures on Microsoft Fabric, optimize data pipelines with Python and PowerShell, and implement data governance practices."
Lead Data Engineer – AWS,NorthBay Solutions Private Limited,8 - 15 Years,Cairo - Egypt,"Lead design and implementation of AWS data pipelines, ETL solutions, and data warehousing while mentoring engineers and ensuring data governance."
Principal Data Engineer - Enterprise Data & Analytics,The Emirates Group,8 - 13 Years,Dubai - United Arab Emirates,"Lead design and development of complex data solutions, ensuring stability and scalability while mentoring engineers and promoting best practices in data engineering."
Data Engineer,AI71,8 - 13 Years,Abu Dhabi - United Arab Emirates,"Develop and manage data pipelines, optimize data processing, implement cloud solutions, and ensure data governance while collaborating with cross-functional teams."
Senior Data Engineer,Client of Durlston Partners,3 - 8 Years,Dubai - United Arab Emirates,"Design and maintain data pipelines for market research, ensuring low-latency access; requires proficiency in Python and cloud infrastructure experience."
Data Engineer,The Open Platform,3 - 5 Years,Dubai - United Arab Emirates,"Design and implement scalable data models, optimize workflows, and engage with teams; requires proficiency in SQL and experience with cloud providers and data technologies."
